Planta; descripcion;CORRELATIVO;FACTURA FISICA;Descripción/Item;Proveedor/Vendor;Factura n°;Planta;Ubicación;Ubicación en Planta;Fecha de compra;Fecha Adj. Concesión;Fecha termino Concesion;Fecha comienzo op;Vida util s/ Concesion;Vida útil tributaria (meses);Valor de Origen
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;38;SI;DINAMOMETER LIGTH DUTY;PROGRESS FIVE;3840095735-2;MELIPILLA;OPERATIVA;;19-12-2017;10-11-2015;10-11-2023;01-12-2018;78;60;14348235
